Date,Amount,Category,Description
2025-04-02,4362.31,Education,Exam Fee
2025-03-12,4477.57,Health,Protein Powder
2025-04-23,2718.89,Gym,Supplements
2025-03-10,3555.7,Bills,Internet
2025-02-21,2645.94,Gym,Supplements
2025-07-19,2145.44,Bills,Internet
2025-04-02,4681.85,Subscriptions,Spotify
2025-12-12,524.42,Food,Dinner
2025-08-04,2666.32,Entertainment,Movie
2025-03-22,1396.69,Gym,Shaker Bottle
2025-12-05,1929.13,Entertainment,Game Purchase
2026-03-01,1762.53,Travel,Train Ticket
2026-01-13,2388.21,Bills,Internet
2025-11-30,1588.55,Health,Protein Powder
2026-01-05,730.94,Gym,Gym Fee
2025-10-01,1231.07,Shopping,Shoes
2025-12-05,4316.48,Health,Medicines
2026-01-12,2852.16,Gym,Gym Fee
2025-12-23,265.73,Bills,Mobile Recharge
2026-02-11,2241.04,Gym,Supplements
2025-03-25,237.85,Gym,Gym Fee
2026-03-28,2661.31,Groceries,Fruits
2025-10-13,1751.65,Entertainment,Netflix
2025-09-02,3222.65,Gym,Gym Fee
2026-01-27,1358.32,Gym,Gym Fee
2025-01-25,2465.17,Gym,Shaker Bottle
2026-05-02,2202.83,Gym,Supplements
2025-08-20,4221.24,Entertainment,Game Purchase
2026-03-15,4429.02,Subscriptions,Spotify
2026-03-14,1054.59,Travel,Bus Ticket
2025-04-25,4654.4,Gym,Supplements
2026-04-09,1681.81,Health,Medicines
2026-02-20,702.62,Gym,Shaker Bottle
2025-10-25,4395.92,Groceries,Vegetables
2025-01-22,1363.23,Food,Chicken Roll
2025-10-12,1562.29,Bills,Internet
2026-01-15,2223.19,Bills,Electricity
2025-02-04,400.81,Bills,Electricity
2025-01-19,4402.32,Travel,Bus Ticket
2026-02-01,3240.56,Groceries,Fruits
2025-04-14,4808.99,Groceries,Milk
2025-01-05,378.54,Shopping,Shoes
2025-11-15,2792.79,Gym,Shaker Bottle
2025-01-14,4480.05,Bills,Electricity
2025-08-27,4174.92,Entertainment,Game Purchase
2025-11-07,1100.1,Food,Pizza
2025-12-13,1552.13,Health,Doctor Visit
2025-01-31,4847.63,Gym,Gym Fee
2025-04-16,727.83,Education,Books
2025-04-09,2117.69,Education,Course
2025-01-13,2572.65,Groceries,Vegetables
2025-12-18,4386.26,Food,Chicken Roll
2025-05-10,4454.84,Bills,Mobile Recharge
2025-09-08,3064.48,Entertainment,Movie
2026-04-10,3020.04,Health,Protein Powder
2025-10-29,102.18,Shopping,Clothes
2025-04-29,3708.56,Gym,Supplements
2025-10-14,3319.49,Bills,Internet
2025-10-31,2260.66,Subscriptions,Spotify
2025-10-20,1302.65,Health,Medicines
2025-12-24,590.11,Food,Dinner
2025-10-22,1134.95,Bills,Electricity
2026-01-31,3495.36,Health,Medicines
2026-04-01,4477.39,Entertainment,Game Purchase
2026-01-19,3050.61,Health,Medicines
2025-01-08,3481.47,Bills,Internet
2025-02-16,2489.75,Entertainment,Concert
2025-09-16,1725.93,Shopping,Accessories
2026-02-25,4652.91,Health,Medicines
2025-05-23,3967.53,Groceries,Fruits
2026-03-29,1714.54,Education,Books
2025-07-26,3304.4,Shopping,Clothes
2026-03-19,1733.5,Food,Pizza
2025-12-13,1165.59,Entertainment,Netflix
2026-04-20,1441.42,Health,Protein Powder
2025-09-27,3339.34,Bills,Mobile Recharge
2025-05-27,4173.36,Health,Medicines
2025-03-24,3914.2,Bills,Internet
2025-05-20,1351.64,Health,Doctor Visit
2026-01-05,1526.79,Food,Chicken Roll
2025-03-24,983.5,Travel,Auto Ride
2025-03-28,1868.54,Subscriptions,Prime Video
2025-12-14,3166.29,Education,Course
2025-12-30,2524.68,Groceries,Milk
2025-04-18,1024.11,Subscriptions,Hotstar
2025-06-22,3110.08,Health,Medicines
2026-03-28,3250.75,Bills,Electricity
2026-03-24,4062.39,Travel,Fuel
2026-01-10,1631.86,Groceries,Fruits
2026-04-12,1193.39,Education,Exam Fee
2025-11-28,1184.81,Food,Dinner
2026-01-16,269.34,Travel,Fuel
2026-04-26,1046.95,Entertainment,Movie
2025-11-14,3247.8,Entertainment,Game Purchase
2025-11-15,536.01,Gym,Supplements
2025-07-21,3076.24,Groceries,Vegetables
2026-04-18,2699.69,Health,Doctor Visit
2025-08-21,3475.52,Gym,Shaker Bottle
2025-05-06,2042.67,Shopping,Accessories
2025-05-14,2517.9,Bills,Internet
2025-12-19,921.94,Education,Course
2026-05-04,3178.83,Shopping,Accessories
2026-03-06,3134.01,Food,Chicken Roll
2026-01-17,2926.85,Gym,Gym Fee
2025-06-26,895.04,Health,Medicines
2025-03-29,2139.61,Shopping,Shoes
2025-01-22,3237.97,Gym,Supplements
2025-08-31,4993.5,Food,Dinner
2025-11-17,446.14,Gym,Supplements
2025-01-15,193.1,Travel,Fuel
2025-12-19,1087.17,Food,Lunch
2025-11-06,4416.63,Bills,Electricity
2025-09-09,1706.59,Education,Exam Fee
2025-01-07,869.71,Entertainment,Concert
2025-04-01,3776.02,Groceries,Vegetables
2025-08-24,2355.77,Food,Snacks
2025-05-04,3922.27,Subscriptions,Hotstar
2025-07-07,3157.81,Groceries,Fruits
2025-09-22,2480.89,Entertainment,Game Purchase
2026-01-04,638.45,Entertainment,Netflix
2025-08-16,1717.84,Groceries,Rice
2025-07-17,4351.82,Subscriptions,Hotstar
2025-04-28,3863.55,Subscriptions,Prime Video
2025-11-22,4388.14,Food,Dinner
2025-12-15,4046.0,Shopping,Accessories
2026-04-18,3857.73,Health,Protein Powder
2025-02-02,1295.87,Shopping,Electronics
2026-01-26,1603.86,Education,Books
2026-04-23,3215.44,Entertainment,Netflix
2026-02-26,2279.6,Health,Protein Powder
2026-04-04,2422.15,Entertainment,Movie
2026-04-11,3638.86,Health,Protein Powder
2025-06-04,4118.82,Subscriptions,Spotify
2025-11-11,2725.28,Food,Lunch
2025-11-05,1780.44,Bills,Internet
2026-04-27,2494.16,Entertainment,Movie
2025-05-01,4711.43,Food,Lunch
2025-01-18,563.44,Groceries,Rice
2025-12-05,1418.47,Shopping,Accessories
2025-10-22,573.64,Shopping,Shoes
2025-08-25,2062.47,Education,Course
2026-05-03,1877.8,Health,Medicines
2026-04-16,3114.72,Shopping,Shoes
2026-04-13,3419.32,Food,Pizza
2026-02-19,3622.41,Bills,Electricity
2026-03-21,1211.02,Entertainment,Netflix
2025-12-10,3891.22,Gym,Gym Fee
2025-05-19,3000.66,Entertainment,Movie
2026-01-01,2840.42,Groceries,Vegetables
2025-11-27,859.99,Entertainment,Game Purchase
2025-11-29,3332.78,Groceries,Vegetables
2026-03-25,868.88,Food,Pizza
2026-02-22,601.35,Health,Protein Powder
2026-04-12,2425.55,Entertainment,Movie
2025-08-28,389.64,Entertainment,Netflix
2026-01-15,642.64,Gym,Gym Fee
2025-09-09,653.35,Shopping,Accessories
2025-04-07,3539.5,Groceries,Milk
2026-01-03,4048.39,Entertainment,Game Purchase
2025-08-06,573.85,Groceries,Rice
2025-09-10,1226.41,Shopping,Electronics
2025-06-11,3964.28,Gym,Shaker Bottle
2026-04-08,3684.2,Travel,Train Ticket
2025-01-12,2137.38,Food,Chicken Roll
2025-06-04,4667.03,Gym,Supplements
2025-05-30,1803.3,Travel,Fuel
2025-03-24,4111.21,Gym,Shaker Bottle
2025-05-07,2109.91,Gym,Gym Fee
2025-05-05,1286.62,Shopping,Electronics
2025-06-08,1270.54,Travel,Fuel
2025-09-17,568.89,Education,Course
2026-03-19,2525.27,Entertainment,Game Purchase
2026-04-09,1590.14,Subscriptions,Spotify
2025-11-09,3918.49,Food,Pizza
2025-07-16,1284.89,Education,Books
2025-10-09,2257.1,Subscriptions,Spotify
2026-01-22,4913.64,Groceries,Milk
2025-07-11,2432.94,Subscriptions,Hotstar
2025-01-17,1363.37,Gym,Shaker Bottle
2025-09-21,2897.57,Bills,Internet
2025-11-20,3784.41,Entertainment,Movie
2026-01-19,2140.65,Gym,Shaker Bottle
2025-08-11,358.02,Shopping,Clothes
2026-01-30,388.97,Education,Course
2026-01-28,1694.5,Food,Pizza
2026-04-30,1442.26,Food,Dinner
2026-02-20,3476.73,Entertainment,Netflix
2026-04-19,4141.79,Health,Medicines
2025-05-09,4971.51,Shopping,Shoes
2025-02-11,1456.53,Gym,Supplements
2026-04-25,3771.33,Groceries,Vegetables
2025-12-27,3551.57,Groceries,Milk
2025-04-08,2497.89,Gym,Supplements
2025-04-22,1051.06,Travel,Train Ticket
2025-04-09,642.4,Bills,Internet
2025-03-20,3201.03,Food,Chicken Roll
2025-10-31,3697.97,Education,Books
2025-10-10,408.97,Travel,Auto Ride
2025-12-09,4128.23,Travel,Fuel
2025-03-16,2719.26,Food,Chicken Roll
2025-01-17,3620.8,Bills,Electricity
2025-02-14,3294.82,Gym,Supplements
2025-10-26,2967.6,Subscriptions,Prime Video
2025-06-13,4035.48,Groceries,Fruits
2025-07-22,4628.9,Subscriptions,Spotify
2025-05-07,2567.81,Travel,Train Ticket
2025-08-24,2491.58,Gym,Gym Fee
2026-03-17,3344.42,Travel,Train Ticket
2025-12-27,2138.81,Entertainment,Movie
2025-07-10,4459.49,Entertainment,Game Purchase
2026-02-07,1332.85,Food,Chicken Roll
2025-06-06,2393.2,Travel,Fuel
2025-10-26,1379.79,Subscriptions,Spotify
2025-05-20,3666.23,Subscriptions,Hotstar
2026-02-19,3263.69,Groceries,Milk
2026-05-11,2692.13,Travel,Fuel
2025-11-07,1075.14,Food,Lunch
2025-02-23,76.33,Health,Protein Powder
2025-04-25,2683.04,Food,Lunch
2025-05-04,2013.44,Subscriptions,Spotify
2026-03-14,2007.91,Groceries,Rice
2025-11-11,4697.73,Shopping,Electronics
2025-11-08,2804.26,Shopping,Electronics
2025-05-07,594.26,Subscriptions,Hotstar
2025-09-02,365.1,Shopping,Accessories
2025-08-09,3233.68,Gym,Gym Fee
2025-12-16,2092.55,Subscriptions,Hotstar
2025-09-15,1172.69,Subscriptions,Hotstar
2025-09-17,2921.2,Bills,Mobile Recharge
2025-10-21,2977.6,Food,Pizza
2025-07-20,836.58,Education,Books
2025-06-11,3555.57,Travel,Train Ticket
2025-08-12,1806.64,Gym,Gym Fee
2025-08-07,182.35,Education,Course
2025-12-16,2232.02,Travel,Auto Ride
2025-11-17,1287.23,Entertainment,Netflix
2025-11-28,761.19,Bills,Internet
2025-12-29,385.86,Groceries,Milk
2025-09-03,1567.03,Gym,Gym Fee
2026-03-02,4918.99,Subscriptions,Prime Video
2025-06-19,4425.59,Travel,Bus Ticket
2025-10-30,4735.83,Subscriptions,Prime Video
2025-01-08,3868.52,Food,Pizza
2026-05-13,518.19,Subscriptions,Spotify
2025-05-09,1061.45,Travel,Fuel
2026-03-12,895.98,Subscriptions,Spotify
2025-07-16,3062.92,Groceries,Milk
2025-04-03,4536.69,Health,Doctor Visit
2025-12-11,4251.67,Bills,Internet
2025-07-21,2110.75,Subscriptions,Spotify
2025-09-07,3377.88,Health,Medicines
2025-05-28,3124.26,Education,Course
2025-05-09,3536.32,Groceries,Vegetables
2025-12-18,3391.72,Travel,Auto Ride
2025-08-08,87.06,Health,Medicines
2025-07-15,4104.03,Education,Course
2026-01-14,1099.79,Entertainment,Netflix
2026-04-01,4986.44,Shopping,Accessories
2025-09-12,396.04,Groceries,Fruits
2025-06-05,2522.42,Health,Medicines
2025-06-19,2084.89,Education,Books
2025-03-05,1501.26,Bills,Internet
2025-10-17,4464.87,Gym,Supplements
2026-03-15,1122.38,Education,Books
2025-09-09,2807.76,Gym,Gym Fee
2025-02-02,408.59,Shopping,Electronics
2026-01-03,1506.65,Shopping,Accessories
2025-04-19,3511.68,Food,Chicken Roll
2025-05-24,1109.83,Food,Snacks
2026-03-28,1448.92,Bills,Electricity
2026-05-09,1565.7,Travel,Train Ticket
2026-05-15,4284.55,Groceries,Vegetables
2025-11-01,2655.34,Entertainment,Game Purchase
2025-12-29,1901.77,Health,Doctor Visit
2025-01-19,3797.92,Gym,Gym Fee
2026-05-03,423.49,Gym,Supplements
2025-05-01,1818.04,Education,Exam Fee
2025-10-25,101.74,Food,Lunch
2025-04-30,4768.25,Entertainment,Netflix
2025-03-08,4497.55,Health,Doctor Visit
2025-10-03,4398.2,Travel,Auto Ride
2026-03-02,2386.01,Gym,Gym Fee
2026-03-29,4256.41,Food,Coffee
2025-10-31,2899.96,Shopping,Electronics
2026-01-07,324.15,Education,Exam Fee
2025-06-24,1549.08,Food,Chicken Roll
2025-12-27,976.96,Education,Books
2025-06-16,230.45,Shopping,Shoes
2025-11-21,4584.03,Shopping,Clothes
2025-11-21,4197.29,Shopping,Electronics
2026-02-25,1045.37,Bills,Mobile Recharge
2025-01-23,74.71,Travel,Train Ticket
2025-10-12,3486.0,Food,Lunch
2026-02-04,1349.98,Education,Exam Fee
2025-02-02,2632.61,Entertainment,Netflix
2025-10-04,1581.57,Bills,Electricity
2025-03-19,4181.41,Bills,Electricity
2026-01-06,1857.23,Bills,Mobile Recharge
2026-04-24,130.82,Groceries,Fruits
2026-03-09,602.8,Subscriptions,Hotstar
2025-10-08,280.28,Bills,Electricity
2025-12-18,605.01,Entertainment,Game Purchase
2025-11-20,4983.55,Groceries,Rice
2025-05-08,1401.82,Health,Doctor Visit
2026-01-24,888.66,Bills,Internet
2025-03-07,3780.1,Travel,Auto Ride
2025-05-06,392.63,Entertainment,Game Purchase
2025-03-08,3489.33,Education,Exam Fee
2025-05-12,575.54,Groceries,Milk
2025-03-15,1192.2,Subscriptions,Hotstar
2025-05-26,1025.6,Entertainment,Netflix
2025-09-19,4894.34,Entertainment,Game Purchase
2025-10-11,1427.87,Travel,Train Ticket
2026-02-08,1890.26,Travel,Bus Ticket
2026-01-11,3166.31,Health,Protein Powder
2025-09-02,2606.25,Travel,Train Ticket
2025-04-22,3774.98,Bills,Mobile Recharge
2025-12-25,3021.05,Subscriptions,Spotify
2026-05-12,4022.03,Health,Protein Powder
2026-05-15,934.41,Education,Books
2026-03-29,4876.73,Bills,Internet
2025-10-18,907.32,Shopping,Electronics
2025-03-22,4081.96,Education,Course
2025-01-03,1627.51,Subscriptions,Hotstar
2025-11-26,3520.35,Gym,Supplements
2025-10-01,749.92,Groceries,Milk
2025-05-06,3349.47,Subscriptions,Spotify
2026-04-19,2078.92,Entertainment,Game Purchase
2025-05-03,3113.09,Subscriptions,Hotstar
2025-05-28,3699.61,Education,Exam Fee
2026-01-21,2593.08,Entertainment,Movie
2025-01-31,3769.54,Groceries,Milk
2025-10-09,4802.47,Education,Exam Fee
2025-04-27,1248.1,Groceries,Milk
2026-02-14,409.29,Gym,Gym Fee
2025-04-14,2544.2,Food,Coffee
2026-03-12,2538.65,Food,Lunch
2025-03-28,199.62,Bills,Electricity
2025-11-16,3427.48,Groceries,Vegetables
2025-11-15,140.11,Health,Doctor Visit
2025-09-05,4087.54,Food,Snacks
2025-03-28,2424.46,Gym,Shaker Bottle
2025-08-12,1286.16,Gym,Shaker Bottle
2026-04-02,317.8,Food,Snacks
2026-01-27,1760.52,Bills,Internet
2025-03-21,274.96,Food,Snacks
2025-04-04,2977.74,Education,Exam Fee
2025-04-20,1160.59,Subscriptions,Prime Video
2025-04-24,2322.02,Subscriptions,Prime Video
2025-09-09,3680.25,Shopping,Electronics
2025-07-04,534.95,Entertainment,Netflix
2026-05-08,2232.46,Gym,Supplements
2025-11-18,1965.1,Food,Lunch
2025-04-25,4929.64,Entertainment,Concert
2025-08-16,116.87,Travel,Train Ticket
2025-12-10,3475.67,Shopping,Clothes
2025-03-10,2768.42,Subscriptions,Hotstar
2025-12-13,2529.55,Education,Exam Fee
2025-02-11,460.04,Shopping,Shoes
2025-09-23,3312.91,Health,Medicines
2025-04-17,1681.7,Travel,Fuel
2025-01-27,2649.44,Groceries,Milk
2025-10-26,2688.12,Food,Pizza
2026-02-28,1232.21,Education,Exam Fee
2025-04-18,1321.28,Food,Lunch
2025-06-11,2202.57,Health,Doctor Visit
2026-05-09,3014.93,Bills,Electricity
2025-07-15,2745.56,Subscriptions,Prime Video
2026-02-24,1343.34,Groceries,Vegetables
2025-02-22,4549.46,Entertainment,Game Purchase
2025-11-07,920.19,Bills,Internet
2025-07-21,1289.34,Groceries,Fruits
2025-09-10,378.32,Bills,Mobile Recharge
2025-12-21,717.92,Subscriptions,Spotify
2025-11-09,4535.24,Subscriptions,Prime Video
2025-10-22,3242.9,Subscriptions,Prime Video
2026-04-12,4884.87,Food,Coffee
2026-01-23,420.79,Entertainment,Game Purchase
2026-04-07,3826.22,Bills,Mobile Recharge
2025-06-27,3061.28,Health,Protein Powder
